Sitemap,Date,Total URLs,New URLs,URL Hash
definitions,2024-08-06,105,2,8d319cac47c21a349be4c2d34b034f69
dotfiles,2024-08-06,155,8,6390ecf9a35f79f37e950411334aa911
definitions,2024-08-13,108,3,5c25127c25fec7b735b24ed646bebc16
dotfiles,2024-08-13,164,9,b9b5992749a9d1b6ed2149bf8f8cee8f
definitions,2024-08-20,109,1,f9a0bcbd64a86f9db8eebf9ef8ec0b6f
dotfiles,2024-08-20,168,4,74839aa9c06d24ae05d606b17ffeb406
definitions,2024-08-27,116,7,277c52c4082e1a6be6a8635c8326557e
dotfiles,2024-08-27,171,3,15c3d36eb3d0ba4983f71c76ddceaead
definitions,2024-09-03,120,4,c045f50e4627ac560213b38443cedbd2
dotfiles,2024-09-03,180,9,a07710a5229fe87405918ca12906205b
definitions,2024-09-10,128,8,b754c57d896d844fdeb205612b154277
dotfiles,2024-09-10,190,10,71574d47f79ebae167b8a1214cd375af
definitions,2024-09-17,128,0,5641ea0e2858be5583e79fe7e71b0f63
dotfiles,2024-09-17,199,9,aa06ff273cfd835c43bb67d510b6e7ac
definitions,2024-09-24,129,1,01ad5f34c913bd31c9d862186bd3aa45
dotfiles,2024-09-24,208,9,916af87e0d82e67d3f82c7a750010b65
definitions,2024-10-01,130,1,b1d4c1db560c36300ceefcc9c4e05b58
dotfiles,2024-10-01,215,7,714bf74685a923fcc717801d4f013e52
definitions,2024-10-08,131,1,defa93bbbbde75ce828a6f4c491ab0ca
dotfiles,2024-10-08,219,4,a8ca7ef8893a6d7e1d484dbd92d47b79
definitions,2024-10-15,136,5,2b08a63a139d5ab81ceac9e55c8a0d58
dotfiles,2024-10-15,224,5,c80e7a4f2a446989c67ba6680cd3b6b9
definitions,2024-10-22,146,10,b8a8131e0ea973ef0ec050965df1e42d
dotfiles,2024-10-22,234,10,560364a290f8eee6fd1f98053ef45347
definitions,2024-10-29,151,5,8b2368c1e5f9dd5453fe7e9ab883d879
dotfiles,2024-10-29,234,0,18b291872fbdc154bac23daf8cf00862
definitions,2024-11-05,154,3,8373760692d93e81f4d67d53f419a3ad
dotfiles,2024-11-05,244,10,a07835cf52c9e7b0e8ee497c3b50d1fb
definitions,2024-11-12,162,8,34497e489dd9e98988df5579328ed760
dotfiles,2024-11-12,244,0,d77821780dc7fea05e6a5706685c8862
definitions,2024-11-19,171,9,e844b8aef0bf079e3fbf0aa99769da81
dotfiles,2024-11-19,249,5,48584eb8ac8038d7121337f5587b7dfd
definitions,2024-11-26,179,8,b89717f0bf9bccc06ffc08a7ca47e335
dotfiles,2024-11-26,253,4,8f325fa7efc344ad16c0db5e55ed39db
definitions,2024-12-03,185,6,3c6aae9ac8961962c51cc0f4c13ff1a3
dotfiles,2024-12-03,262,9,f4e5f6b03f879eb09cf5a34fb8f58f2e
definitions,2024-12-10,189,4,5e9274c1fef21d469c611b886d11c773
dotfiles,2024-12-10,269,7,6fc2076b80d0ce8a2f6f79df326af32d
definitions,2024-12-17,199,10,590f7285c6ec7710281be61abebd8b28
dotfiles,2024-12-17,272,3,d7ea533478cd56129ad00d57a1572a03
definitions,2024-12-24,202,3,df69d465de41b9d4821456ef9ebce523
dotfiles,2024-12-24,279,7,37c350ced6f559149722273b8dc43407
definitions,2024-12-31,209,7,21d236d89afde4bce86fadd126ac4340
dotfiles,2024-12-31,283,4,ae2a34acbd0b56f851af4e7cbeceb996
